Symbol,Company Name,Exchange,Sector
NSE:ADANIENSOL,Adani Energy Solutions Limited,National Stock Exchange of India,Utilities
BOM:541729,HDFC Asset Management Company Limited,Bombay Stock Exchange,
NSE:HDFCAMC,HDFC Asset Management Company Limited,National Stock Exchange of India,Financials
NSE:TORNTPHARM,Torrent Pharmaceuticals Limited,National Stock Exchange of India,Healthcare
BOM:500420,Torrent Pharmaceuticals Limited,Bombay Stock Exchange,
BOM:500116,IDBI Bank Limited,Bombay Stock Exchange,
NSE:IDBI,IDBI Bank Limited,National Stock Exchange of India,Financials
NSE:SHREECEM,Shree Cement Limited,National Stock Exchange of India,Materials
BOM:500387,Shree Cement Limited,Bombay Stock Exchange,
BOM:532483,Canara Bank,Bombay Stock Exchange,
NSE:CANBK,Canara Bank,National Stock Exchange of India,Financials
NSE:INDUSTOWER,Indus Towers Limited,National Stock Exchange of India,Communication Services
BOM:534816,Indus Towers Limited,Bombay Stock Exchange,
BOM:500093,CG Power and Industrial Solutions Limited,Bombay Stock Exchange,
NSE:CGPOWER,CG Power and Industrial Solutions Limited,National Stock Exchange of India,Industrials
NSE:BAJAJHFL,Bajaj Housing Finance Limited,National Stock Exchange of India,Financials
BOM:544252,Bajaj Housing Finance Limited,Bombay Stock Exchange,
BOM:533398,Muthoot Finance Limited,Bombay Stock Exchange,
NSE:MUTHOOTFIN,Muthoot Finance Limited,National Stock Exchange of India,Financials
BOM:508869,Apollo Hospitals Enterprise Limited,Bombay Stock Exchange,
NSE:APOLLOHOSP,Apollo Hospitals Enterprise Limited,National Stock Exchange of India,Healthcare
NSE:JINDALSTEL,Jindal Steel & Power Limited,National Stock Exchange of India,Materials
BOM:532286,Jindal Steel & Power Limited,Bombay Stock Exchange,
BOM:532777,Info Edge (India) Limited,Bombay Stock Exchange,
NSE:NAUKRI,Info Edge (India) Limited,National Stock Exchange of India,Communication Services
BOM:532321,Zydus Lifesciences Limited,Bombay Stock Exchange,
NSE:ZYDUSLIFE,Zydus Lifesciences Limited,National Stock Exchange of India,Healthcare
NSE:HAVELLS,Havells India Limited,National Stock Exchange of India,Industrials
BOM:517354,Havells India Limited,Bombay Stock Exchange,
BOM:540716,ICICI Lombard General Insurance Company Limited,Bombay Stock Exchange,
NSE:ICICIGI,ICICI Lombard General Insurance Company Limited,National Stock Exchange of India,Financials
BOM:543904,Mankind Pharma Limited,Bombay Stock Exchange,
NSE:MANKIND,Mankind Pharma Limited,National Stock Exchange of India,Healthcare
BOM:543066,SBI Cards and Payment Services Limited,Bombay Stock Exchange,
NSE:SBICARD,SBI Cards and Payment Services Limited,National Stock Exchange of India,Financials
NSE:NTPCGREEN,NTPC Green Energy Limited,National Stock Exchange of India,Utilities
BOM:544289,NTPC Green Energy Limited,Bombay Stock Exchange,
BOM:500480,Cummins India Limited,Bombay Stock Exchange,
NSE:CUMMINSIND,Cummins India Limited,National Stock Exchange of India,Industrials
NSE:SUZLON,Suzlon Energy Limited,National Stock Exchange of India,Industrials
BOM:532667,Suzlon Energy Limited,Bombay Stock Exchange,
NSE:JSWENERGY,JSW Energy Limited,National Stock Exchange of India,Utilities
BOM:533148,JSW Energy Limited,Bombay Stock Exchange,
NSE:BOSCHLTD,Bosch Limited,National Stock Exchange of India,Consumer Discretionary
BOM:500530,Bosch Limited,Bombay Stock Exchange,
NSE:POLYCAB,Polycab India Limited,National Stock Exchange of India,Industrials
BOM:542652,Polycab India Limited,Bombay Stock Exchange,
BOM:540133,ICICI Prudential Life Insurance Company Limited,Bombay Stock Exchange,
NSE:ICICIPRULI,ICICI Prudential Life Insurance Company Limited,National Stock Exchange of India,Financials
BOM:500257,Lupin Limited,Bombay Stock Exchange,
NSE:LUPIN,Lupin Limited,National Stock Exchange of India,Healthcare
BOM:503806,SRF Limited,Bombay Stock Exchange,
NSE:SRF,SRF Limited,National Stock Exchange of India,Industrials
BOM:500103,Bharat Heavy Electricals Limited,Bombay Stock Exchange,
NSE:BHEL,Bharat Heavy Electricals Limited,National Stock Exchange of India,Industrials
BOM:540699,Dixon Technologies (India) Limited,Bombay Stock Exchange,
NSE:DIXON,Dixon Technologies (India) Limited,National Stock Exchange of India,Technology
BOM:531642,Marico Limited,Bombay Stock Exchange,
NSE:MARICO,Marico Limited,National Stock Exchange of India,Consumer Staples
BOM:544285,Swiggy Limited,Bombay Stock Exchange,
NSE:SWIGGY,Swiggy Limited,National Stock Exchange of India,Consumer Discretionary
