Symbol,Company Name,Exchange,Sector
TSX:TVK,TerraVest Industries Inc.,Toronto Stock Exchange,Energy
TSX:PBH,Premium Brands Holdings Corporation,Toronto Stock Exchange,Consumer Staples
TSX:SSL,Sandstorm Gold Ltd.,Toronto Stock Exchange,Materials
TSX:MDA,MDA Space Ltd.,Toronto Stock Exchange,Industrials
TSX:EQB,EQB Inc.,Toronto Stock Exchange,Financials
TSX:BEI.UN,Boardwalk Real Estate Investment Trust,Toronto Stock Exchange,Real Estate
TSX:MFI,Maple Leaf Foods Inc.,Toronto Stock Exchange,Consumer Staples
TSX:SSRM,SSR Mining Inc.,Toronto Stock Exchange,Materials
TSX:DPM,Dundee Precious Metals Inc.,Toronto Stock Exchange,Materials
TSX:BB,BlackBerry Limited,Toronto Stock Exchange,Technology
TSX:SES,SECURE Waste Infrastructure Corp.,Toronto Stock Exchange,Industrials
TSX:NGEX,NGEx Minerals Ltd.,Toronto Stock Exchange,Materials
TSX:FIH.U,Fairfax India Holdings Corporation,Toronto Stock Exchange,Financials
TSX:BLX,Boralex Inc.,Toronto Stock Exchange,Utilities
TSX:WDO,Wesdome Gold Mines Ltd.,Toronto Stock Exchange,Materials
TSX:MX,Methanex Corporation,Toronto Stock Exchange,Materials
TSX:MAG,MAG Silver Corp.,Toronto Stock Exchange,Materials
TSX:NVA,NuVista Energy Ltd.,Toronto Stock Exchange,Energy
TSX:EIF,Exchange Income Corporation,Toronto Stock Exchange,Industrials
TSX:POU,Paramount Resources Ltd.,Toronto Stock Exchange,Energy
TSX:FVI,Fortuna Mining Corp.,Toronto Stock Exchange,Materials
TSX:BBUC,Brookfield Business Corporation,Toronto Stock Exchange,Financials
TSX:CCA,Cogeco Communications Inc.,Toronto Stock Exchange,Communication Services
TSX:HR.UN,H&R Real Estate Investment Trust,Toronto Stock Exchange,Real Estate
TSX:INE,Innergex Renewable Energy Inc.,Toronto Stock Exchange,Utilities
TSX:CXB,Calibre Mining Corp.,Toronto Stock Exchange,Materials
TSX:WPK,Winpak Ltd.,Toronto Stock Exchange,Consumer Discretionary
TSX:CRR.UN,Crombie Real Estate Investment Trust,Toronto Stock Exchange,Real Estate
TSX:ATH,Athabasca Oil Corporation,Toronto Stock Exchange,Energy
TSX:DSV,Discovery Silver Corp.,Toronto Stock Exchange,Materials
TSX:WGX,Westgold Resources Limited,Toronto Stock Exchange,Materials
TSX:HUT,Hut 8 Corp.,Toronto Stock Exchange,Financials
TSX:NWC,The North West Company Inc.,Toronto Stock Exchange,Consumer Staples
