Symbol,Company Name,Exchange,Sector
FRA:TRVC,Citigroup Inc.,Frankfurt Stock Exchange,
FRA:ALD,Honeywell International Inc.,Frankfurt Stock Exchange,
FRA:DAP,Danaher Corporation,Frankfurt Stock Exchange,
ETR:DAP,Danaher Corporation,Deutsche Börse Xetra,Healthcare
ETR:639,Spotify Technology S.A.,Deutsche Börse Xetra,Communication Services
FRA:639,Spotify Technology S.A.,Frankfurt Stock Exchange,
ETR:TJX,"The TJX Companies, Inc.",Deutsche Börse Xetra,
FRA:TJX,"The TJX Companies, Inc.",Frankfurt Stock Exchange,
ETR:DCO,Deere & Company,Deutsche Börse Xetra,Industrials
FRA:DCO,Deere & Company,Frankfurt Stock Exchange,
ETR:1NBA,Anheuser-Busch InBev SA/NV,Deutsche Börse Xetra,Consumer Staples
FRA:1NBA,Anheuser-Busch InBev SA/NV,Frankfurt Stock Exchange,
ETR:AP2,"Applied Materials, Inc.",Deutsche Börse Xetra,Technology
FRA:AP2,"Applied Materials, Inc.",Frankfurt Stock Exchange,
ETR:PFE,Pfizer Inc.,Deutsche Börse Xetra,Healthcare
FRA:PFE,Pfizer Inc.,Frankfurt Stock Exchange,Healthcare
ETR:GIS,"Gilead Sciences, Inc.",Deutsche Börse Xetra,Healthcare
FRA:GIS,"Gilead Sciences, Inc.",Frankfurt Stock Exchange,
FRA:UNP,Union Pacific Corporation,Frankfurt Stock Exchange,
ETR:TOTB,TotalEnergies SE,Deutsche Börse Xetra,Energy
FRA:TOTB,TotalEnergies SE,Frankfurt Stock Exchange,
ETR:UNP,Union Pacific Corporation,Deutsche Börse Xetra,Industrials
ETR:CTP2,Comcast Corporation,Deutsche Börse Xetra,Communication Services
FRA:CTP2,Comcast Corporation,Frankfurt Stock Exchange,
ETR:ESL,EssilorLuxottica Société anonyme,Deutsche Börse Xetra,
FRA:ESL,EssilorLuxottica Société anonyme,Frankfurt Stock Exchange,
ETR:5AP,"Palo Alto Networks, Inc.",Deutsche Börse Xetra,
FRA:5AP,"Palo Alto Networks, Inc.",Frankfurt Stock Exchange,
FRA:ADP,"Automatic Data Processing, Inc.",Frankfurt Stock Exchange,
ETR:MTE,"Micron Technology, Inc.",Deutsche Börse Xetra,Technology
FRA:MTE,"Micron Technology, Inc.",Frankfurt Stock Exchange,
FRA:3EC,Eaton Corporation plc,Frankfurt Stock Exchange,
FRA:LWE,"Lowe's Companies, Inc.",Frankfurt Stock Exchange,
ETR:SEJ1,Safran SA,Deutsche Börse Xetra,
FRA:SEJ1,Safran SA,Frankfurt Stock Exchange,
ETR:1TY,Prosus N.V.,Deutsche Börse Xetra,Communication Services
FRA:1TY,Prosus N.V.,Frankfurt Stock Exchange,
ETR:SNW,Sanofi,Deutsche Börse Xetra,Healthcare
FRA:SNW,Sanofi,Frankfurt Stock Exchange,
ETR:MLB1,"MercadoLibre, Inc.",Deutsche Börse Xetra,Consumer Discretionary
FRA:MLB1,"MercadoLibre, Inc.",Frankfurt Stock Exchange,
ETR:AIL,L'Air Liquide S.A.,Deutsche Börse Xetra,Materials
FRA:AIL,L'Air Liquide S.A.,Frankfurt Stock Exchange,
ETR:BSD2,"Banco Santander, S.A.",Deutsche Börse Xetra,Financials
ETR:LAR0,Lam Research Corporation,Deutsche Börse Xetra,
ETR:VX1,Vertex Pharmaceuticals Incorporated,Deutsche Börse Xetra,Healthcare
FRA:VX1,Vertex Pharmaceuticals Incorporated,Frankfurt Stock Exchange,
ETR:IBE1,"Iberdrola, S.A.",Deutsche Börse Xetra,Utilities
ETR:YCP,ConocoPhillips,Deutsche Börse Xetra,Energy
FRA:YCP,ConocoPhillips,Frankfurt Stock Exchange,
ETR:KLA,KLA Corporation,Deutsche Börse Xetra,
FRA:KLA,KLA Corporation,Frankfurt Stock Exchange,
ETR:2M6,Medtronic plc,Deutsche Börse Xetra,Healthcare
FRA:2M6,Medtronic plc,Frankfurt Stock Exchange,
ETR:LOM,Lockheed Martin Corporation,Deutsche Börse Xetra,Industrials
FRA:LOM,Lockheed Martin Corporation,Frankfurt Stock Exchange,
FRA:BBN1,Blackstone Inc.,Frankfurt Stock Exchange,Financials
ETR:ABJ,ABB Ltd,Deutsche Börse Xetra,Industrial Goods
ETR:AXA,AXA SA,Deutsche Börse Xetra,Financials
FRA:AXA,AXA SA,Frankfurt Stock Exchange,
ETR:SRB,Starbucks Corporation,Deutsche Börse Xetra,Consumer Discretionary
FRA:SRB,Starbucks Corporation,Frankfurt Stock Exchange,
ETR:BMT,British American Tobacco p.l.c.,Deutsche Börse Xetra,Consumer Staples
FRA:BMT,British American Tobacco p.l.c.,Frankfurt Stock Exchange,
FRA:BMTA,British American Tobacco p.l.c.,Frankfurt Stock Exchange,
FRA:FR7,"Fast Retailing Co., Ltd.",Frankfurt Stock Exchange,
FRA:BRM,Bristol-Myers Squibb Company,Frankfurt Stock Exchange,
ETR:CRIN,UniCredit S.p.A.,Deutsche Börse Xetra,Financials
FRA:CRIN,UniCredit S.p.A.,Frankfurt Stock Exchange,
FRA:IC2,"Intercontinental Exchange, Inc.",Frankfurt Stock Exchange,
ETR:RIO1,Rio Tinto Group,Deutsche Börse Xetra,Materials
FRA:RIO1,Rio Tinto Group,Frankfurt Stock Exchange,
FRA:KEE,Keyence Corporation,Frankfurt Stock Exchange,
FRA:EN3,Enbridge Inc.,Frankfurt Stock Exchange,
ETR:BRM,Bristol-Myers Squibb Company,Deutsche Börse Xetra,Healthcare
FRA:RRU,Rolls-Royce Holdings plc,Frankfurt Stock Exchange,
ETR:ZFIN,Zurich Insurance Group AG,Deutsche Börse Xetra,Financials
ETR:IES,Intesa Sanpaolo S.p.A.,Deutsche Börse Xetra,Financials
FRA:IES,Intesa Sanpaolo S.p.A.,Frankfurt Stock Exchange,
ETR:0UB,UBS Group AG,Deutsche Börse Xetra,
